Geneid,Control_1,Control_2,Control_3,Ab42_1,Ab42_2,Ab42_3
FBgn0039302,19459,13621,13205,14952,19314,13572
FBgn0039461,1131,1216,983,880,1197,997
FBgn0037894,6401,5295,4682,5260,7024,5078
FBgn0039799,20,1,0,203,68,178
FBgn0262290,0,0,0,0,0,0
FBgn0039817,479,111,567,485,373,741
FBgn0051224,6621,4095,4360,5398,6962,4770
FBgn0054008,201,176,197,149,243,193
FBgn0013276,7,27,33,43,11,29
FBgn0039714,4600,3279,3671,4065,4192,3857
FBgn0037832,13,12,22,11,12,13
FBgn0263409,0,0,0,0,0,0
FBgn0037802,589,701,521,511,776,601
FBgn0004781,0,0,0,0,0,0
FBgn0037502,64,0,0,476,192,392
FBgn0051230,28,0,0,79,26,77
FBgn0039328,427,282,455,507,573,632
FBgn0038204,2,0,0,5,7,6
FBgn0285912,34,31,43,110,50,83
FBgn0051116,1754,1526,2248,2275,1628,2344
FBgn0263835,0,0,1,0,0,0
FBgn0266672,4080,3216,3056,3270,4216,3563
FBgn0037292,775,645,546,620,648,621
FBgn0002735,0,3,1,3,3,1
FBgn0017550,4385,3378,3110,3396,4137,3583
FBti0062066,0,0,0,0,1,0
FBti0059750,1,0,0,0,0,0
FBgn0037679,1333,1036,1082,1117,1583,1243
FBgn0037837,4,1,1,58,20,50
FBgn0040609,357,1660,452,512,239,418
FBgn0284417,0,0,0,0,0,3
FBgn0038113,41,36,83,45,60,65
FBgn0014931,1440,1207,1098,838,1459,1073
FBgn0267408,24920,12253,22196,19110,17897,20796
FBgn0038115,2656,1678,2989,2270,2365,2658
FBgn0038745,7792,5690,7204,8617,9493,8601
FBgn0038321,763,656,655,845,693,885
FBgn0266538,0,0,0,0,0,0
FBgn0263594,61823,52996,51662,43413,65456,54055
FBgn0083984,15,15,21,6,16,5
FBgn0051162,0,0,0,0,0,0
FBgn0039378,20,0,0,32,20,41
FBgn0015568,2971,2585,2290,2266,2762,2929
FBgn0267107,3,0,0,12,7,7
FBgn0267759,1,1,1,1,4,6
FBgn0038881,1441,1114,1568,1742,1390,1793
FBgn0259139,7187,5774,6231,6304,7519,5873
FBgn0267159,1,0,0,6,1,2
FBgn0038423,114,0,0,549,194,416
FBgn0262112,134,104,87,71,52,88
FBgn0266732,0,0,0,1,0,1
FBti0062737,8,5,13,13,3,19
FBgn0039258,1261,1065,831,873,1324,869
FBgn0039415,15,9,18,25,19,31
FBgn0039325,2449,985,4158,1832,1122,2100
FBgn0264427,44,2,5,130,67,130
FBgn0004841,8,11,24,25,12,27
FBgn0275433,0,0,0,2,0,7
FBtr0304200_df_nrg,0,0,0,0,0,0
FBti0019345,0,0,0,0,0,0
FBgn0267674,2,1,0,8,6,5
FBgn0002924,3019,3010,2140,2684,4220,2499
FBgn0039008,272,372,412,532,526,461
FBgn0259721,0,0,0,0,0,0
FBgn0051211,2797,2697,2623,2645,2860,3089
FBgn0283548,0,0,0,0,0,0
FBgn0038717,647,658,947,424,409,667
FBtr0445469_df_nrg,0,0,0,0,0,0
FBgn0267612,0,0,0,0,0,0
FBti0062734,0,0,0,0,0,0
FBgn0263389,2,0,0,34,5,21
FBgn0051575,0,0,1,0,0,1
FBgn0263664,0,0,0,0,0,1
FBgn0037993,46,40,65,75,65,86
FBgn0262962,331,328,274,223,426,407
FBgn0038049,1925,2123,1629,1538,2071,1888
FBgn0005777,6467,5020,4684,4822,6751,5134
FBgn0261238,3844,2929,2783,2868,4044,2925
FBgn0042101,323,250,244,222,230,323
FBti0063301,0,0,0,0,0,0
FBgn0037891,7401,6305,6967,7095,7037,7055
FBgn0039182,6849,5018,5500,4907,6045,4641
FBgn0262808,32,31,29,27,29,32
FBgn0085345,155,28,95,88,98,63
FBgn0085383,96,69,119,136,105,145
FBgn0267808,0,0,0,0,0,0
FBgn0051480,0,0,0,0,0,0
FBgn0040080,3596,2895,2503,2367,3097,2140
FBgn0037383,675,665,571,675,951,590
FBgn0037779,1538,1501,1265,1122,1480,1208
FBgn0000533,1135,1183,979,909,1289,828
FBgn0264563,48,0,2,274,78,181
FBgn0263025,464,407,344,293,473,341
FBgn0264291,1027,1100,905,826,1397,987
FBti0019286,0,1,5,2,3,5
FBgn0010340,727,569,566,458,690,628
FBgn0262327,0,0,0,0,0,0
FBgn0039722,194,197,233,240,207,281
FBgn0038490,256,278,259,148,212,197
FBgn0265276,1130,922,1298,1060,1187,1425
FBgn0014930,1544,1166,1395,1190,1364,1389
FBgn0267315,0,1,0,11,3,3
FBgn0038809,8743,6252,6406,9034,10019,8577
FBti0020305,0,0,0,0,0,0
FBgn0038678,839,759,652,593,816,572
FBgn0262434,0,0,0,0,0,0
FBgn0261996,6,0,0,65,26,49
FBti0059756,0,0,0,0,0,0
FBgn0037478,821,886,768,902,1108,825
FBgn0267708,3,0,1,2,3,4
FBgn0038428,2591,2281,2113,2170,2989,2066
FBgn0015270,1775,1942,1525,1873,3077,1857
FBgn0038853,3187,2351,2688,3086,3944,2372
FBgn0267119,2,1,7,4,9,10
FBgn0038306,2521,2192,2172,1998,2696,1987
FBgn0046876,133,95,99,221,144,171
FBtr0309665_df_nrg,0,0,0,0,0,0
FBgn0051320,352,450,370,647,698,708
FBgn0053333,0,0,0,0,0,0
FBgn0051268,0,0,3,3,0,3
FBgn0051184,1345,1242,1177,870,1443,1003
FBgn0038219,8,0,0,68,17,62
FBgn0051225,2,4,0,0,4,2
FBti0062533,0,0,0,1,0,0
FBgn0038756,1774,1397,1574,1115,944,1157
FBgn0037276,51,10,10,562,181,426
FBgn0039870,1424,1239,1166,923,1721,1230
FBgn0003165,10101,6670,6376,6537,7604,7452
FBgn0039463,34,0,1,325,120,310
FBgn0039719,17,20,57,62,14,23
FBgn0038760,947,953,769,844,1137,790
FBgn0002781,14008,14311,10299,11870,18275,10788
FBgn0039311,3051,1354,1699,2652,1866,4159
FBgn0038034,499,339,503,381,372,427
FBgn0053970,1269,860,1324,1560,1172,1711
FBgn0038332,191,211,154,217,271,243
FBgn0024957,9477,5621,9053,10390,8766,9116
FBgn0038017,22,24,23,33,21,41
FBgn0011999,0,0,0,0,0,0
FBgn0267671,4,0,0,12,4,10
FBgn0023212,4486,4083,3995,3889,5166,4648
FBgn0086057,12,10,22,12,6,7
FBgn0263400,16,8,12,19,13,12
FBti0061713,7,7,6,7,3,9
FBgn0027492,14353,11318,11962,12354,17601,12938
FBtr0445445_df_nrg,0,0,0,0,0,0
FBgn0011289,4844,4333,3861,4394,5634,4238
FBgn0263986,54,41,95,84,79,108
FBti0019404,0,0,0,0,0,1
FBgn0015269,2824,2120,2345,2453,3535,2878
FBgn0038485,25,13,14,9,12,14
FBgn0265062,12,1,0,23,4,31
FBti0063270,0,0,0,0,0,0
FBgn0010399,132,89,218,191,180,173
FBgn0039369,24,0,0,128,52,133
